Timestamp,Car1_Location_X,Car1_Location_Y,Car1_Location_Z,Car2_Location_X,Car2_Location_Y,Car2_Location_Z,Occluded_Image_view,Occluding_Car_view,Ground_Truth_View,pedestrianLocationX_TopLeft,pedestrianLocationY_TopLeft,pedestrianLocationX_BottomRight,pedestrianLocationY_BottomRight
1736796157,-51.40297655,143,0.596902,-59.32026969,140,0.596902,A_001.png,B_001.png,C_001.png,593,361,610,410
1736796167,-53.81963722,143,0.596902,-59.19656815,140,0.596902,A_002.png,B_002.png,C_002.png,579,368,594,415
1736796178,-50.23914439,143,0.596902,-56.74447887,140,0.596902,A_003.png,B_003.png,C_003.png,854,720,854,720
1736796188,-53.70722021,143,0.596902,-57.30938047,140,0.596902,A_004.png,B_004.png,C_004.png,549,368,567,425
1736796198,-52.05372109,143,0.596902,-59.54589734,140,0.596902,A_005.png,B_005.png,C_005.png,524,368,537,413
1736796209,-53.93975603,143,0.596902,-55.77204855,140,0.596902,A_006.png,B_006.png,C_006.png,576,371,598,439
1736796219,-50.30258412,143,0.596902,-54.76172465,140,0.596902,A_007.png,B_007.png,C_007.png,625,373,644,450
1736796229,-53.17447194,143,0.596902,-54.03136206,140,0.596902,A_008.png,B_008.png,C_008.png,700,373,727,459
1736796240,-52.72667437,143,0.596902,-58.77132264,140,0.596902,A_009.png,B_009.png,C_009.png,854,720,600,417
1736796250,-50.18179353,143,0.596902,-55.4792791,140,0.596902,A_010.png,B_010.png,C_010.png,652,371,672,440
1736796260,-52.40699613,143,0.596902,-58.32106842,140,0.596902,A_011.png,B_011.png,C_011.png,541,369,553,419
1736796270,-52.38122971,143,0.596902,-59.28873328,140,0.596902,A_012.png,B_012.png,C_012.png,556,368,568,415
1736796281,-53.01906414,143,0.596902,-57.68918188,140,0.596902,A_013.png,B_013.png,C_013.png,623,361,639,417
1736796291,-50.85034015,143,0.596902,-55.31382382,140,0.596902,A_014.png,B_014.png,C_014.png,594,372,613,443
1736796301,-51.93070037,143,0.596902,-54.68581524,140,0.596902,A_015.png,B_015.png,C_015.png,636,373,658,449
1736796311,-50.75051989,143,0.596902,-55.51285632,140,0.596902,A_016.png,B_016.png,C_016.png,635,370,653,440
1736796328,-50.63015195,143,0.596902,-57.18588618,140,0.596902,A_017.png,B_017.png,C_017.png,632,362,646,420
1736796338,-50.69818291,143,0.596902,-57.93300469,140,0.596902,A_018.png,B_018.png,C_018.png,593,369,607,422
1736796348,-51.95966168,143,0.596902,-59.74619673,140,0.596902,A_019.png,B_019.png,C_019.png,573,368,585,413
1736796359,-50.88663347,143,0.596902,-59.74590219,140,0.596902,A_020.png,B_020.png,C_020.png,536,367,547,412
1736796369,-50.35038982,143,0.596902,-59.20177975,140,0.596902,A_021.png,B_021.png,C_021.png,530,369,544,416
1736796379,-53.57093032,143,0.596902,-57.94413249,140,0.596902,A_022.png,B_022.png,C_022.png,578,369,591,422
1736796390,-50.04513945,143,0.596902,-59.06283939,140,0.596902,A_023.png,B_023.png,C_023.png,551,368,563,415
1736796400,-51.24863375,143,0.596902,-55.19980778,140,0.596902,A_024.png,B_024.png,C_024.png,642,373,663,443
1736796410,-52.09900089,143,0.596902,-54.54702899,140,0.596902,A_025.png,B_025.png,C_025.png,602,372,624,452
1736796421,-51.88276534,143,0.596902,-54.91730644,140,0.596902,A_026.png,B_026.png,C_026.png,593,374,613,448
1736796431,-50.31608089,143,0.596902,-56.40671527,140,0.596902,A_027.png,B_027.png,C_027.png,567,370,586,432
1736796441,-53.79236138,143,0.596902,-55.81242891,140,0.596902,A_028.png,B_028.png,C_028.png,642,372,661,438
1736796452,-52.6279462,143,0.596902,-58.09895607,140,0.596902,A_029.png,B_029.png,C_029.png,561,369,576,421
1736796468,-50.01929523,143,0.596902,-57.36453663,140,0.596902,A_030.png,B_030.png,C_030.png,595,369,612,426
1736796478,-50.18752701,143,0.596902,-55.46674184,140,0.596902,A_031.png,B_031.png,C_031.png,632,372,651,442
1736796489,-51.70228541,143,0.596902,-57.97399335,140,0.596902,A_032.png,B_032.png,C_032.png,598,368,614,422
1736796499,-50.88811237,143,0.596902,-55.2793598,140,0.596902,A_033.png,B_033.png,C_033.png,676,364,699,435
1736796509,-53.51393804,143,0.596902,-59.11350913,140,0.596902,A_034.png,B_034.png,C_034.png,556,368,569,415
1736796520,-50.67855251,143,0.596902,-59.36335284,140,0.596902,A_035.png,B_035.png,C_035.png,578,368,590,415
1736796530,-51.49925224,143,0.596902,-55.98684692,140,0.596902,A_036.png,B_036.png,C_036.png,611,371,631,437
1736796553,-52.22916535,143,0.596902,-55.41191819,140,0.596902,A_037.png,B_037.png,C_037.png,652,371,673,441
1736796563,-52.30411335,143,0.596902,-57.53750689,140,0.596902,A_038.png,B_038.png,C_038.png,602,369,619,424
